	Dis_01	Dis_02	Dis_11	Dis_12	Dis_15	Dis_04	Dis_16	Dis_17	Dis_03	Dis_07	Dis_10	Dis_18	Dis_09	Dis_05	Dis_06	Dis_08
OR4F5	2	0	0	0	0	0	0	0	6	0	1	0	0	0	1	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LINC00115	49	26	47	29	41	27	59	43	39	29	24	24	39	69	24	37
SAMD11	176	14	5	5	25	22	28	69	62	40	48	9	20	115	7	15
NOC2L	6343	3154	3656	3656	2665	983	4853	2553	2609	2100	1105	2003	2332	1371	2867	1249
KLHL17	339	59	81	362	279	133	228	220	139	80	142	198	240	309	191	134
PLEKHN1	86	18	5	625	139	25	235	96	143	27	72	265	215	161	109	131
HES4	59	50	16	301	79	19	387	325	192	47	114	77	86	150	54	137
ISG15	52	43	29	1232	140	76	248	104	380	33	269	240	243	57	132	245
AGRN	4484	4417	3535	10306	9966	3103	28769	8220	3514	2878	1055	11594	4776	6837	6317	7054
RNF223	13	0	4	15	1	0	40	5	9	3	7	3	7	15	42	6
C1orf159	286	102	313	218	183	88	249	192	100	42	97	178	152	229	160	164
TTLL10	240	22	88	59	3	23	42	1459	76	28	49	30	141	760	3	81
TNFRSF18	13	44	22	243	50	28	165	133	79	21	83	57	171	85	23	64
TNFRSF4	6	40	33	18	46	26	17	52	59	9	55	26	29	49	35	13
SDF4	2373	1425	1106	1702	1617	1423	3372	1879	890	2118	917	963	1071	824	961	515
B3GALT6	35	34	33	26	26	18	53	38	26	14	7	38	55	41	39	28
FAM132A	22	39	8	48	21	5	11	8	71	15	38	22	103	23	21	13
UBE2J2	741	444	421	484	469	296	572	480	213	350	194	402	634	462	413	461
SCNN1D	15	26	38	38	62	42	69	92	71	21	44	26	57	126	58	126
ACAP3	1030	759	1306	1651	698	555	1184	1045	231	307	470	895	1651	1572	886	1654
PUSL1	236	108	147	192	80	53	129	130	72	33	72	83	134	94	100	99
TAS1R3	397	79	728	81	207	37	47	105	152	32	109	83	170	110	134	85
DVL1	2726	909	1755	1539	803	459	1502	1162	279	451	465	1596	1164	989	1620	1100
MXRA8	251	743	386	1026	576	681	1048	990	113	274	367	545	326	923	431	414
AURKAIP1	430	493	347	345	289	166	891	353	192	295	195	228	230	204	261	155
CCNL2	3701	1961	3565	2694	2903	1487	3076	3306	684	1470	1322	2986	4023	4930	2131	3082
MRPL20	849	809	673	643	486	252	894	641	495	789	275	329	465	405	485	301
ANKRD65	81	29	6	72	6	8	38	214	82	50	18	5	82	148	43	107
TMEM88B	12	1	0	2	0	0	13	2	10	1	6	0	1	4	1	0
VWA1	208	145	113	216	103	45	494	353	46	173	32	126	173	228	220	251
ATAD3C	70	44	75	32	26	9	130	60	93	53	40	57	193	107	94	185
ATAD3B	2470	898	2833	1560	787	440	1940	1066	539	515	721	1102	1208	1608	1199	828
ATAD3A	1884	781	1476	873	595	290	2181	682	455	350	325	626	711	585	780	596
TMEM240	8	22	18	14	36	7	16	25	52	17	25	13	20	22	7	12
SSU72	1722	1226	1203	1188	1219	555	2218	1088	757	1216	451	720	1115	783	971	854
MIB2	703	615	720	538	630	678	1034	847	325	297	362	401	730	1043	342	630
MMP23B	3	5	5	0	6	26	22	4	34	9	7	1	1	6	1	0
CDK11B	1915	1468	1426	1251	1584	769	1709	1761	599	992	1481	1039	1089	1170	952	991
SLC35E2B	1085	618	835	764	961	574	495	793	143	93	321	937	414	1764	629	930
CDK11A	2160	880	1028	1256	1575	926	1457	1348	847	1370	928	848	1016	1302	962	510
SLC35E2	662	269	493	336	549	183	449	937	78	196	157	511	1046	920	534	768
NADK	2336	1013	1140	1417	1803	1266	1455	1207	300	1098	1285	745	867	1067	2542	834
GNB1	8148	5420	5272	6755	6546	6411	8047	6117	3018	6572	4974	4150	5321	2419	2668	3167
CALML6	6	6	5	17	21	8	4	28	16	2	2	5	12	19	11	32
TMEM52	123	12	4	11	32	3	19	85	42	8	15	9	5	33	23	159
C1orf222	46	4	9	72	1	42	7	2620	120	170	84	24	44	1262	82	63
GABRD	23	29	61	22	15	1	32	63	55	19	32	21	29	20	32	71
PRKCZ	1295	615	432	1066	787	101	1702	1176	280	1122	168	667	675	782	701	435
SKI	2010	1579	1179	1903	1364	2289	3583	2788	744	1519	2397	2082	1444	2351	1209	1185
MORN1	145	179	217	307	249	86	383	1132	211	150	60	220	194	939	296	425
RER1	1860	1713	1533	2245	1889	1335	2415	1858	588	1111	448	1606	2541	1209	1875	1875
PEX10	243	297	224	258	173	124	414	252	96	108	73	250	283	203	313	176
PLCH2	47	112	37	1740	311	238	259	3313	450	165	208	1595	2114	2381	114	50
PANK4	789	597	489	745	646	412	557	820	238	319	472	466	663	689	383	454
HES5	7	0	3	3	0	0	7	6	10	1	2	3	4	5	2	2
TNFRSF14	110	587	510	499	1416	1498	932	1556	105	530	577	671	535	1556	417	420
